system,key,reglastwritetime,type,name,val
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET Data Provider for Oracle\Performance","2019-12-07T09:17:26Z","dword","CategoryOptions","0x3"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET Data Provider for Oracle\Performance","2019-12-07T09:17:26Z","sz","Close","ClosePerformanceData"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET Data Provider for Oracle\Performance","2019-12-07T09:17:26Z","sz","Collect","CollectPerformanceData"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET Data Provider for Oracle\Performance","2019-12-07T09:17:26Z","binary","Counter Names","480061007200640043006f006e006e0065006300740073005000650072005300650063006f006e0064000000480061007200640044006900730063006f006e006e0065006300740073005000650072005300650063006f006e006400000053006f006600740043006f006e006e0065006300740073005000650072005300650063006f006e006400000053006f006600740044006900730063006f006e006e0065006300740073005000650072005300650063006f006e00640000004e0075006d006200650072004f0066004e006f006e0050006f006f006c006500640043006f006e006e0065006300740069006f006e00730000004e0075006d006200650072004f00660050006f006f006c006500640043006f006e006e0065006300740069006f006e00730000004e0075006d006200650072004f00660041006300740069007600650043006f006e006e0065006300740069006f006e0050006f006f006c00470072006f0075007000730000004e0075006d006200650072004f00660049006e0061006300740069007600650043006f006e006e0065006300740069006f006e0050006f006f006c00470072006f0075007000730000004e0075006d006200650072004f00660041006300740069007600650043006f006e006e0065006300740069006f006e0050006f006f006c00730000004e0075006d006200650072004f00660049006e0061006300740069007600650043006f006e006e0065006300740069006f006e0050006f006f006c00730000004e0075006d006200650072004f00660041006300740069007600650043006f006e006e0065006300740069006f006e00730000004e0075006d006200650072004f006600460072006500650043006f006e006e0065006300740069006f006e00730000004e0075006d006200650072004f00660053007400610073006900730043006f006e006e0065006300740069006f006e00730000004e0075006d006200650072004f0066005200650063006c00610069006d006500640043006f006e006e0065006300740069006f006e00730000000000"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET Data Provider for Oracle\Performance","2019-12-07T09:17:26Z","binary","Counter Types","32003700320036003900360033003200300000003200370032003600390036003300320030000000320037003200360039003600330032003000000032003700320036003900360033003200300000003600350035003300360000003600350035003300360000003600350035003300360000003600350035003300360000003600350035003300360000003600350035003300360000003600350035003300360000003600350035003300360000003600350035003300360000003600350035003300360000000000"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET Data Provider for Oracle\Performance","2019-12-07T09:17:26Z","dword","FileMappingSize","0x20000"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET Data Provider for Oracle\Performance","2019-12-07T09:17:26Z","dword","IsMultiInstance","0x1"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET Data Provider for Oracle\Performance","2019-12-07T09:17:26Z","expand_sz","Library","%systemroot%\system32\netfxperf.dll"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET Data Provider for Oracle\Performance","2019-12-07T09:17:26Z","sz","Open","OpenPerformanceData"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET Data Provider for Oracle\Performance","2019-12-07T09:17:26Z","dword","InstallType","0x1"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET Data Provider for Oracle\Performance","2019-12-07T09:17:26Z","sz","PerfIniFile","_DataOracleClientPerfCounters_shared12_neutral_d.ini"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET Data Provider for Oracle\Performance","2019-12-07T09:17:26Z","dword","First Counter","0x22d4"
